file,context_type,prompt_type,n_samples,n_with_ref,accuracy,precision,recall,f1,bleu,rouge_l_fmeasure,avg_inference_time_s
results\llm_review_results_ctx1_ptcot.csv,1,cot,200,139,0.5359116022099447,0.5,0.4642857142857143,0.48148148148148145,2.7999003580173207,0.06553713276538256,16.484889624118804
results\llm_review_results_ctx1_ptfew.csv,1,few,200,139,0.4540540540540541,0.42424242424242425,0.4883720930232558,0.4540540540540541,0.3583097946733563,0.06460880445983191,13.331837643384933
results\llm_review_results_ctx1_ptrole.csv,1,role,200,139,0.5102040816326531,0.75,0.4411764705882353,0.5555555555555556,2.7020448704477342,0.04765516112237357,14.438865092992783
results\llm_review_results_ctx1_ptself.csv,1,self,200,139,0.592125785,0.54,0.4222222222222222,0.4540540540540541,0.018124523401019065,0.047296898835880584,0.0985411787033081
results\llm_review_results_ctx1_ptzero.csv,1,zero,200,139,0.4973544973544973,0.4691358024691358,0.4222222222222222,0.4444444444444444,2.5172606091586025,0.07154407052940188,15.528587247133254
results\llm_review_results_ctx2_ptcot.csv,2,cot,200,139,,,,,0.018233605022488053,0.047644724922837105,
results\llm_review_results_ctx2_ptfew.csv,2,few,200,139,,,,,0.018201160333636546,0.047644724922837105,
results\llm_review_results_ctx2_ptrole.csv,2,role,200,139,,,,,0.01830677882232559,0.047644724922837105,
results\llm_review_results_ctx2_ptself.csv,2,self,200,139,,,,,0.018268783337695268,0.047644724922837105,
results\llm_review_results_ctx2_ptzero.csv,2,zero,200,139,,,,,0.018256665744029794,0.047644724922837105,
results\llm_review_results_ctx3_ptcot.csv,3,cot,200,139,,,,,0.018251385397213295,0.047644724922837105,
results\llm_review_results_ctx3_ptfew.csv,3,few,200,139,,,,,0.018206831643624362,0.047644724922837105,
results\llm_review_results_ctx3_ptrole.csv,3,role,200,139,,,,,0.018162240293023324,0.047644724922837105,
results\llm_review_results_ctx3_ptself.csv,3,self,200,139,,,,,0.018284470200864544,0.047644724922837105,
results\llm_review_results_ctx3_ptzero.csv,3,zero,200,139,,,,,0.018107429492068592,0.047644724922837105,
results\llm_review_results_ctx4_ptcot.csv,4,cot,200,139,,,,,0.018244168215302156,0.047644724922837105,
results\llm_review_results_ctx4_ptfew.csv,4,few,200,139,,,,,0.018194681984733115,0.047644724922837105,
results\llm_review_results_ctx4_ptrole.csv,4,role,200,139,,,,,0.01821493951853835,0.047644724922837105,
results\llm_review_results_ctx4_ptself.csv,4,self,200,139,,,,,0.018202774540411176,0.047644724922837105,
results\llm_review_results_ctx4_ptzero.csv,4,zero,200,139,,,,,0.01818956600117956,0.047644724922837105,
results\llm_review_results_ctx5_ptcot.csv,5,cot,200,139,,,,,0.018240823518070465,0.047644724922837105,
results\llm_review_results_ctx5_ptfew.csv,5,few,200,139,,,,,0.018295901378394482,0.047644724922837105,
results\llm_review_results_ctx5_ptrole.csv,5,role,200,139,,,,,0.018189396768622117,0.047644724922837105,
results\llm_review_results_ctx5_ptself.csv,5,self,200,139,,,,,0.018189717727874328,0.047644724922837105,
results\llm_review_results_ctx5_ptzero.csv,5,zero,200,139,,,,,0.018242759602958746,0.047644724922837105,
